"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Shell Script", "Markdown", "JavaScript", "Ignore", "comment", "blank", "total"
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 2, 0, 20
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\.eslintrc.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\.vscodeignore", "Ignore", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\README.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\client\package-lock.json", "JSON", 0, 216, 0, 0, 0, 0, 0, 0, 1, 217
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\client\package.json", "JSON", 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\client\src\extension.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 14, 12, 68
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\client\src\test\completion.test.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 5, 7, 44
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\client\src\test\diagnostics.test.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 4, 8, 41
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\client\src\test\helper.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 8, 7, 48
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\client\src\test\index.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 7, 5, 43
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\client\src\test\runTest.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 9, 5, 27
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\client\tsconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\package-lock.json", "JSON", 0, 2091, 0, 0, 0, 0, 0, 0, 1, 2092
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\package.json", "JSON", 0, 106, 0, 0, 0, 0, 0, 0, 1, 107
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\scripts\e2e.sh", "Shell Script", 0, 0, 0, 3, 0, 0, 0, 1, 2, 6
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\package-lock.json", "JSON", 0, 56, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\package.json", "JSON", 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\debug.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 51, 22, 121
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\diagnostics\Diag.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\diagnostics\arithmetic.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 2, 9, 55
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\diagnostics\basicsAndProgramControl.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 4, 15, 50
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\diagnostics\diagnostics.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 16, 65
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\diagnostics\errors.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\docs\arithmetic.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 3, 24, 131
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\docs\boolean.ts", "TypeScript", 0, 0, 116, 0, 0, 0, 0, 0, 28, 144
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\docs\dataTransfer.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\docs\docs.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 9, 10, 44
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\docs\dsm51\dsm51.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\docs\logical.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\docs\pins.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 5, 8
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\docs\programControl.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\docs\registers.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 4, 7
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\docs\template.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\server.ts", "TypeScript", 0, 0, 172, 0, 0, 0, 0, 28, 46, 246
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\src\tools\enum.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 1, 0, 7
"c:\Users\Epat\Documents\GitHub\8051-ASM-Plugin\server\tsconfig.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
